City,Country,Date,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed
Tevriz,RU,1605322800,57.509,72.4042,22.69,97,99,5.88
Pocosol,CR,1605322800,10.3667,-84.6167,70.86,93,46,1.3
Mercedes,AR,1605322800,-34.6515,-59.4307,67.19,75,55,9.26
Isangel,VU,1605322800,-19.55,169.2667,82.58,72,38,4.45
Yaransk,RU,1605322800,57.3033,47.8861,22.21,97,85,3.89
Atasū,KZ,1605322800,48.6814,71.6433,21.27,94,98,9.33
Iisalmi,FI,1605322800,63.5592,27.1907,36.95,87,95,7.18
Asău,RO,1605322800,46.4333,26.4,37.45,87,13,3.74
Seoul,KR,1605322800,37.5683,126.9778,59.99,58,9,4.16
Balsas,BR,1605322800,-7.5325,-46.0356,80.31,56,23,1.32
Komarikhinskiy,RU,1605322800,58.0979,57.1163,14.11,90,38,3.65
Den Helder,NL,1605322800,52.9599,4.7593,52.11,85,95,10.94
Beringovskiy,RU,1605322800,63.05,179.3167,15.53,94,98,17.07
Hammerfest,NO,1605322800,70.6634,23.6821,36.07,76,28,15.3
Curup,ID,1605322800,-3.4667,102.5333,82.31,78,92,1.79
Marawi,PH,1605322800,7.9986,124.2928,83.3,71,26,5.12
Touros,BR,1605322800,-5.1989,-35.4608,79.43,84,35,14.14
Inhambane,MZ,1605322800,-23.865,35.3833,67.95,74,0,5.93
Bonoua,CI,1605322800,5.2741,-3.595,76.5,89,20,1.99
Chumikan,RU,1605322800,54.7183,135.315,25.68,93,69,10.89
Rāyagada,IN,1605322800,19.1667,83.4167,78.15,70,0,2.75
Bafoulabé,ML,1605322800,13.8065,-10.8321,74.52,20,0,3.49
Mossamedes,AO,1605322800,-15.1961,12.1522,70.83,77,61,10.04
Álamos,MX,1605322800,27.0167,-108.9333,68.02,57,4,2.68
Port Lincoln,AU,1605322800,-34.7333,135.8667,68.36,60,2,11.36
Arraial do Cabo,BR,1605322800,-22.9661,-42.0278,73.62,94,100,4.83
Itoman,JP,1605322800,26.1247,127.6694,76.01,71,76,15.55
Baykit,RU,1605322800,61.67,96.37,9.79,92,92,4.16
Bireun,ID,1605322800,5.203,96.7009,82.89,77,86,5.23
Amudat,UG,1605322800,1.95,34.95,69.49,64,11,4.97
Tanout,NE,1605322800,14.9709,8.8879,72.68,27,2,13.42
Vostok,RU,1605322800,46.4856,135.8833,31.26,95,31,3.42
Bambanglipuro,ID,1605322800,-7.95,110.2833,89.13,69,55,9.17
Tignère,CM,1605322800,7.3667,12.65,68.72,51,97,1.25
Airai,TL,1605322800,-8.9266,125.4092,82.17,44,0,3.85
Kalabo,ZM,1605322800,-14.97,22.6814,68.07,85,47,4.59
Haines Junction,CA,1605322800,60.7522,-137.5108,17.94,89,97,1.72
Sangar,RU,1605322800,63.9242,127.4739,13.24,95,88,6.91
Cap-aux-Meules,CA,1605322800,47.3821,-61.8597,41.14,77,97,18.72
Dali,CN,1605322800,25.7,100.1833,62.83,67,0,2.06
Liaocheng,CN,1605322800,36.4439,115.9647,64.29,69,36,10.13
Sinnamary,GF,1605322800,5.3833,-52.95,80.1,84,100,10.94
Mount Isa,AU,1605322800,-20.7333,139.5,100.83,31,2,10.13
Sibolga,ID,1605322800,1.7427,98.7792,86.76,71,90,2.57
Saquarema,BR,1605322800,-22.92,-42.5103,75.07,91,95,1.07
Emba,KZ,1605322800,48.8264,58.1442,21.49,94,54,11.81
Humberto de Campos,BR,1605322800,-2.5983,-43.4611,78.39,82,28,5.86
Lebedinyy,RU,1605322800,58.5167,125.5167,20.5,96,100,22.06
Tromsø,NO,1605322800,69.6496,18.957,35.73,78,24,14.72
Ketchikan,US,1605322800,55.3422,-131.6461,36.57,94,62,5.75
Waingapu,ID,1605322800,-9.6567,120.2641,90.27,55,20,10.0
Marsabit,KE,1605322800,2.3284,37.9899,66.18,85,4,11.5
Sagua la Grande,CU,1605322800,22.8067,-80.0756,77.16,91,10,9.91
Prince Rupert,CA,1605322800,54.3161,-130.3201,39.15,81,53,7.18
Kendari,ID,1605322800,-3.945,122.4989,86.99,69,13,5.12
Chinna Salem,IN,1605322800,11.65,78.9,79.86,84,8,9.22
Umluj,SA,1605322800,25.0213,37.2685,72.41,60,0,1.41
Ayagoz,KZ,1605322800,47.9714,80.4392,25.21,87,92,0.54
Kerema,PG,1605322800,-7.9631,145.7785,82.85,72,14,7.31
Teguise,ES,1605322800,29.0605,-13.564,71.87,68,59,4.32
Saquena,PE,1605322800,-4.6667,-73.5167,78.35,74,86,1.95
Nerchinskiy Zavod,RU,1605322800,51.3088,119.61,20.17,93,52,2.24
Piterka,RU,1605322800,50.6803,47.4454,28.65,97,23,9.6
Zhangjiakou,CN,1605322800,40.81,114.8794,43.0,60,100,0.94
Bowen,AU,1605322800,-20.0167,148.2333,84.63,61,64,11.79
Inírida,CO,1605322800,3.8653,-67.9239,73.29,97,100,2.59
Cedar City,US,1605322800,37.6775,-113.0619,43.02,48,45,8.97
Alofi,NU,1605322800,-19.0595,-169.9187,80.02,74,50,17.22
Saint-Ambroise,CA,1605322800,48.5501,-71.3324,36.57,80,100,4.54
Nizhnedevitsk,RU,1605322800,51.5419,38.3657,30.63,86,86,1.16
Tanete,ID,1605322800,-3.9443,119.7848,94.41,56,16,7.92
Los Amates,GT,1605322800,15.2667,-89.1,76.3,69,1,2.19
Constantine,DZ,1605322800,36.365,6.6147,57.2,59,43,4.85
Ramnagar,IN,1605322800,29.4,79.1167,67.93,48,0,2.08
Brawley,US,1605322800,32.9787,-115.5303,65.79,27,1,6.08
Kānt,IN,1605322800,27.8,79.8,69.53,33,0,4.09
San Ignacio,BZ,1605322800,17.1561,-89.0714,74.16,90,11,0.18
Khandyga,RU,1605322800,62.6667,135.6,17.1,96,99,4.52
Parabel',RU,1605322800,58.6978,81.4825,14.72,96,53,3.98
Portland,US,1605322800,45.5234,-122.6762,47.01,69,33,10.13
Buin,CL,1605322800,-33.7333,-70.75,53.55,83,37,1.23
Iquique,CL,1605322800,-20.2208,-70.1431,62.91,69,6,1.81
Udachny,RU,1605322800,66.4167,112.4,0.16,90,94,5.93
Murchison,NZ,1605322800,-41.8,172.3333,67.55,41,16,7.02
Yuzhnyy,RU,1605322800,53.2542,83.6936,27.12,86,44,7.96
Boa Vista,BR,1605322800,2.8197,-60.6733,78.49,84,69,7.63
Souillac,MU,1605322800,-20.5167,57.5167,76.64,86,20,4.09
Igarka,RU,1605322800,67.4667,86.5833,-19.88,87,60,4.74
Pangnirtung,CA,1605322800,66.1451,-65.7125,3.34,82,20,4.16
Comodoro Rivadavia,AR,1605322800,-45.8667,-67.5,63.12,37,18,31.7
Aykino,RU,1605322800,62.2248,49.9922,13.71,95,81,2.98
Huautla,MX,1605322800,21.0333,-98.2833,70.34,91,16,3.74
Nālāgarh,IN,1605322800,31.05,76.7167,66.24,31,49,2.26
Arlit,NE,1605322800,18.7369,7.3853,70.79,27,1,7.67
Chicama,PE,1605322800,-7.8447,-79.1469,63.55,82,70,6.29
Lorengau,PG,1605322800,-2.0226,147.2712,85.8,70,63,7.63
Iralaya,HN,1605322800,15.0,-83.2333,79.99,83,44,12.33
Cravo Norte,CO,1605322800,6.3017,-70.2041,77.09,91,95,4.36
Zavodoukovsk,RU,1605322800,56.5042,66.5515,20.66,97,96,9.78
Vangaindrano,MG,1605322800,-23.35,47.6,68.79,78,95,5.97
Chachapoyas,PE,1605322800,-6.2317,-77.869,56.32,86,100,0.63
Pyatovskiy,RU,1605322800,54.6891,36.0563,30.06,96,47,3.44
Palora,EC,1605322800,-1.7,-77.9333,67.87,95,99,2.59
Maralal,KE,1605322800,1.0968,36.698,57.02,95,28,4.34
Broome,US,1605322800,42.2506,-75.833,38.1,88,47,5.35
Bhīmunipatnam,IN,1605322800,17.8833,83.4333,78.53,72,0,9.24
Mondlo,ZA,1605322800,-27.983,30.7177,62.94,71,0,4.79
Abnūb,EG,1605322800,27.2696,31.1511,60.42,71,0,7.29
Kungurtug,RU,1605322800,50.5994,97.5228,20.12,91,98,1.25
Bukachacha,RU,1605322800,52.9833,116.9167,29.61,91,100,2.04
Coquimbo,CL,1605322800,-29.9533,-71.3436,54.41,87,17,2.06
Lüderitz,NA,1605322800,-26.6481,15.1594,57.61,91,38,4.36
Tarko-Sale,RU,1605322800,64.9225,77.785,-13.99,90,32,4.18
Berlevåg,NO,1605322800,70.8578,29.0864,35.19,87,4,24.67
Mareeba,AU,1605322800,-17.0,145.4333,96.06,43,41,7.16
Praia da Vitória,PT,1605322800,38.7333,-27.0667,64.22,86,65,8.25
Kavaratti,IN,1605322800,10.5669,72.642,82.26,77,99,9.62
Grindavik,IS,1605322800,63.8424,-22.4338,36.7,78,56,20.09
Tamandaré,BR,1605322800,-8.7597,-35.1047,77.36,83,73,8.48
Qax,AZ,1605322800,41.4225,46.9242,41.49,81,34,0.72
Clyde River,CA,1605322800,70.4692,-68.5914,7.32,81,85,4.21
Santa Cruz de Tenerife,ES,1605322800,28.4682,-16.2546,74.28,48,80,15.84
Henties Bay,NA,1605322800,-22.116,14.2845,59.61,90,7,2.62
Peniche,PT,1605322800,39.3558,-9.3811,61.41,89,95,13.29
São João do Piauí,BR,1605322800,-8.3581,-42.2467,80.42,52,6,3.42
Strezhevoy,RU,1605322800,60.7333,77.5889,10.18,94,62,5.55
Altay,CN,1605322800,47.8667,88.1167,34.56,79,71,2.26
Amposta,ES,1605322800,40.7131,0.581,55.58,90,85,2.42
Blackwater,AU,1605322800,-23.5833,148.8833,94.28,38,14,7.45
Tancítaro,MX,1605322800,19.3333,-102.3667,64.33,87,70,1.34
Am Timan,TD,1605322800,11.0297,20.2827,73.26,32,16,5.26
Talaya,RU,1605322800,61.3833,152.75,-0.13,88,100,0.6
Escárcega,MX,1605322800,18.6089,-90.7454,73.47,99,48,1.92
Boulder City,US,1605322800,35.9786,-114.8325,60.58,24,4,14.07
Eyrarbakki,IS,1605322800,63.863,-21.1481,34.39,78,20,15.41
Half Moon Bay,US,1605322800,37.4636,-122.4286,55.65,94,95,6.6
Praia,CV,1605322800,14.9215,-23.5087,77.59,80,43,7.67
General José Eduvigis Díaz,PY,1605322800,-27.1667,-58.4167,75.72,52,0,6.96
Ambulu,ID,1605322800,-8.345,113.6058,87.71,72,15,5.39
Hastings,GB,1605322800,50.8552,0.5729,53.67,83,100,15.35
Shaoyang,CN,1605322800,27.2315,111.4525,68.38,58,0,2.3
Pringsewu,ID,1605322800,-5.3582,104.9744,89.46,70,73,3.56
Shubarshi,KZ,1605322800,48.5872,57.1869,22.66,94,78,12.24
Wagar,SD,1605322800,16.1525,36.2032,70.65,89,0,6.49
Malé,MV,1605322800,4.1748,73.5089,79.72,89,69,16.4
Arrondissement d'Arcachon,FR,1605322800,44.5875,-1.0519,52.86,93,31,8.63
Gongzhuling,CN,1605322800,43.5008,124.8198,47.21,60,14,7.94
Qinzhou,CN,1605322800,21.95,108.6167,67.41,52,77,11.88
Megion,RU,1605322800,61.0296,76.1136,9.39,94,67,7.47
Ugoofaaru,MV,1605322800,5.6667,73.0,80.71,84,100,10.49
Nueve de Julio,AR,1605322800,-35.4444,-60.8831,70.3,74,96,7.05
Mórrope,PE,1605322800,-6.5417,-80.0111,65.17,76,42,14.18
Malakal,SS,1605322800,9.5334,31.6605,80.69,33,69,5.03
North Adams,US,1605322800,42.7009,-73.1087,37.71,90,48,7.25
Colesberg,ZA,1605322800,-30.72,25.0972,69.64,41,13,10.0
Susurluk,TR,1605322800,39.9136,28.1578,53.31,88,62,2.75
Gulu,UG,1605322800,2.7746,32.299,64.63,87,33,2.93
Arrondissement de Montbrison,FR,1605322800,45.6667,4.0833,45.68,85,0,4.45
Dhār,IN,1605322800,22.6,75.3,74.57,66,1,5.86
Mackay,AU,1605322800,-21.15,149.2,84.49,60,22,13.58
Meadow Lake,US,1605322800,34.8014,-106.5436,48.04,41,1,4.5
Barão de Melgaço,BR,1605322800,-16.1944,-55.9675,79.63,65,7,4.27
Anjozorobe,MG,1605322800,-18.4,47.8667,62.4,90,59,7.9
Ilhabela,BR,1605322800,-23.7781,-45.3581,72.32,88,94,2.04
Paamiut,GL,1605322800,61.994,-49.6678,25.92,87,33,34.52
Abhā,SA,1605322800,18.2164,42.5053,56.79,72,2,0.54
Ginda,IN,1605322800,30.6945,78.4932,58.69,59,28,1.45
Brooks,CA,1605322800,50.5834,-111.8851,33.78,85,99,12.86
Marabu,MY,1605322800,4.4148,114.0089,87.89,73,66,3.91
Oranjemund,NA,1605322800,-28.55,16.4333,58.24,93,47,1.97
Margate,GB,1605322800,51.3813,1.3862,53.38,78,100,13.67
Bucine,IT,1605322800,43.4764,11.6148,48.51,92,69,2.62
Aksu,CN,1605322800,41.1231,80.2644,42.46,53,96,4.74
Yokadouma,CM,1605322800,3.5167,15.05,69.22,76,61,1.3
Marovoay,MG,1605322800,-16.1,46.6333,77.79,80,12,4.99
Suntar,RU,1605322800,62.1444,117.6319,17.71,96,100,6.4
Mananjary,MG,1605322800,-21.2167,48.3333,70.74,87,94,8.57
Mandan,US,1605322800,46.8267,-100.8896,31.69,76,29,9.84
Zonguldak,TR,1605322800,41.25,31.8333,46.74,89,49,2.39
Sorong,ID,1605322800,-0.8833,131.25,83.97,76,26,2.62
